"","day","mo","temp","dewp","max","min","NUM_COLLISIONS"
"2868",4,5,46.3,40.4,55,37,0.120588235294118
"2869",5,5,51,40.5,55.9,41,0.122058823529412
"2870",6,5,46.2,33.2,55.9,39.9,0.0794117647058823
"2871",7,5,46,27,54,37.9,0.1
"2872",1,5,50.6,42.9,57.9,37.9,0.117647058823529
"2873",2,5,49.6,39.4,57.9,44.1,0.144117647058824
"2874",3,5,48.8,26.8,55,42.1,0.175
"2875",4,5,51.6,37.5,60.1,39.9,0.114705882352941
"2876",5,5,54.1,50.2,62.1,39.9,0.219117647058824
"2877",6,5,57.6,50.3,70,50,0.180882352941176
"2878",7,5,49.4,42.9,54,41,0.114705882352941
"2879",1,5,52.5,45.9,61,41,0.135294117647059
"2880",2,5,51.7,41.2,61,48,0.2
"2881",3,5,49.9,36.8,57,43,0.145588235294118
"2882",4,5,48.3,42.3,57,36,0.173529411764706
"2883",5,5,57,52.1,64,51.1,0.251470588235294
"2884",6,5,56.4,55,66.2,48,0.147058823529412
"2885",7,5,51.7,45.8,66,48,0.152941176470588
"2886",1,5,56,52.4,66,48.9,0.176470588235294
"2887",2,5,58.2,56,69.1,50,0.191176470588235
"2888",3,5,57.4,56.2,69.1,53.1,0.214705882352941
"2889",4,5,60.2,57.5,66.9,53.1,0.170588235294118
"2890",5,5,61,59.8,66.9,57,0.242647058823529
"2891",6,5,60.4,59.1,64,57.9,0.195588235294118
"2892",7,5,61.5,48.6,66.9,55,0.169117647058824
"2893",1,6,55.4,38.1,66.9,48.9,0.151470588235294
"2894",2,6,57.1,46.6,62.1,48.9,0.152941176470588
"2895",3,6,59.2,56.3,66.9,53.1,0.179411764705882
"2896",4,6,64.4,60.4,73.9,55.9,0.222058823529412
"2897",5,6,60.4,58.9,73.9,59,0.227941176470588
"2898",6,6,61.2,59.5,64.9,59,0.245588235294118
"2899",7,6,62.2,56.2,66,57.9,0.166176470588235
"2900",1,6,62.6,51.1,73,55.9,0.207352941176471
"2901",2,6,61.9,55.5,73,55,0.232352941176471
"2902",3,6,60.3,56.9,72,55.9,0.213235294117647
"2903",4,6,63.6,60.1,70,57.9,0.229411764705882
"2904",5,6,63.1,61.3,70,59,0.269117647058824
"2905",6,6,62.5,53.1,70,53.1,0.277941176470588
"2906",7,6,60.9,51.4,70,53.1,0.2
"2907",1,6,58.3,53.4,63,55.4,0.189705882352941
"2908",2,6,59.9,51.5,69.1,51.1,0.244117647058824
"2909",3,6,61.2,53.9,71.1,52,0.222058823529412
"2910",4,6,59.8,59.4,71.1,53.1,0.195588235294118
"2911",5,6,63.9,61.5,73,54,0.311764705882353
"2912",6,6,64.8,61.5,73.9,60.1,0.222058823529412
"2913",7,6,65.2,62.5,75.9,60.1,0.220588235294118
"2914",1,6,68.6,63.4,75.9,62.1,0.297058823529412
"2915",2,6,63.5,61.3,75.9,59,0.289705882352941
"2916",3,6,66.4,64.3,71.1,59,0.302941176470588
"2917",4,6,67.8,62.5,77,61,0.230882352941176
"2918",5,6,66.7,61.7,77,61,0.357352941176471
"2919",6,6,66.6,63.7,73,62.1,0.263235294117647
"2920",7,6,68,65.1,73,62.1,0.216176470588235
"2921",1,6,67.1,64.7,73.9,64.9,0.304411764705882
"2922",2,6,66.3,62.4,73.9,62.1,0.270588235294118
"2923",3,7,64.4,61.5,73,60.1,0.244117647058824
"2924",4,7,68.2,64.4,75,60.1,0.363235294117647
"2925",5,7,69.5,66.2,77,64,0.307352941176471
"2926",6,7,66.1,63.5,77,60.1,0.272058823529412
"2927",7,7,63.1,61,73,60.1,0.291176470588235
"2928",1,7,67.9,64.1,75,60.1,0.241176470588235
"2929",2,7,60.1,56.3,75,55.9,0.219117647058824
"2930",3,7,68.1,63.9,73.9,55.9,0.255882352941176
"2931",4,7,70.9,67.4,78.1,64.9,0.322058823529412
"2932",5,7,69.8,67.9,78.1,66,0.298529411764706
"2933",6,7,70.3,68.1,75.9,66,0.266176470588235
"2934",7,7,71.8,67.5,77,66.9,0.291176470588235
"2935",1,7,70.3,67.5,77,68,0.289705882352941
"2936",2,7,72,68,79,66.9,0.333823529411765
"2937",3,7,66.5,60,79,62.1,0.257352941176471
"2938",4,7,63.6,55.6,70,57,0.338235294117647
"2939",5,7,62.6,59,71.1,55,0.314705882352941
"2940",6,7,70.2,67.9,75.9,55,0.327941176470588
"2941",7,7,69.1,67.5,72,66.2,0.319117647058824
"2942",1,7,71,69.4,75.9,66.9,0.276470588235294
"2943",2,7,77.6,66.1,88,69.1,0.35
"2944",3,7,72.7,68.1,88,64.9,0.288235294117647
"2945",4,7,74.1,70.9,82,64.9,0.351470588235294
"2946",5,7,73.7,69.7,81,68,0.320588235294118
"2947",6,7,69.6,66.7,80.1,60.1,0.289705882352941
"2948",7,7,75.1,71.3,82,60.1,0.320588235294118
"2949",1,7,77,69.7,84.9,71.1,0.333823529411765
"2950",2,7,76.5,72.1,84.9,72,0.301470588235294
"2951",3,7,75.3,67.6,82.9,72,0.330882352941176
"2952",4,7,74.4,72,82.9,70,0.302941176470588
"2953",5,7,73.7,70.8,80.1,71.1,0.367647058823529
"2954",6,8,72.6,66.2,82.9,62.1,0.414705882352941
"2955",7,8,71.9,66.9,82.9,62.1,0.280882352941176
"2956",1,8,76.1,72.5,82,64.9,0.382352941176471
"2957",2,8,74.8,72.4,82,72,0.526470588235294
"2958",3,8,74.8,70.5,81,71.1,0.369117647058824
"2959",4,8,74.1,61.4,84.9,66,0.385294117647059
"2960",5,8,69,65.6,84.9,63,0.357352941176471
"2961",6,8,69.7,66.4,75.9,63,0.245588235294118
"2962",7,8,71.5,66.9,78.1,64.9,0.277941176470588
"2963",1,8,74.3,70.7,80.1,64.9,0.333823529411765
"2964",2,8,75.4,71.9,81,70,0.326470588235294
"2965",3,8,75.3,72.7,81,71.1,0.289705882352941
"2966",4,8,77,72,86,71.1,0.267647058823529
"2967",5,8,74.6,64.8,86,69.1,0.366176470588235
"2968",6,8,70.4,66.5,84.9,66.9,0.320588235294118
"2969",7,8,66.6,63.7,75.9,64,0.272058823529412
"2970",1,8,66,61.1,71.1,62.1,0.285294117647059
"2971",2,8,68.3,62.8,75.9,57.9,0.320588235294118
"2972",3,8,70.4,62.6,78.1,62.6,0.283823529411765
"2973",4,8,68.4,59.9,81,61,0.313235294117647
"2974",5,8,69.1,63.5,77,61,0.375
"2975",6,8,72.3,67.6,81,61,0.345588235294118
"2976",7,8,72.3,68.9,81,66,0.327941176470588
"2977",1,8,71.7,70,80.1,66,0.332352941176471
"2978",2,8,74.2,70.5,81,68,0.283823529411765
"2979",3,8,70.3,52.8,81,64.9,0.319117647058824
"2980",4,8,66.9,53.6,73,63,0.364705882352941
"2981",5,8,70.6,65.3,78.1,63,0.313235294117647
"2982",6,8,70.8,68.6,78.1,66.9,0.291176470588235
"2983",7,8,72,61.6,75.9,66.9,0.308823529411765
"2984",1,8,67,52,75.9,60.1,0.294117647058824
"2985",2,9,65.7,57.5,73,60.1,0.358823529411765
"2986",3,9,66.5,61.9,73,61,0.314705882352941
"2987",4,9,70.5,69.3,73,64.9,0.395588235294118
"2988",5,9,72.8,68.3,81,66.9,0.426470588235294
"2989",6,9,70.7,53.2,81,64,0.394117647058824
"2990",7,9,67.3,60.5,75.9,59,0.291176470588235
"2991",1,9,67.1,58.6,75,59,0.297058823529412
"2992",2,9,65.9,63.7,77,57.2,0.357352941176471
"2993",3,9,69.3,67.3,77,57.9,0.292647058823529
"2994",4,9,70.8,69.5,77,66.9,0.373529411764706
"2995",5,9,69.1,62.7,75,60.1,0.379411764705882
"2996",6,9,62.4,49.7,73,59,0.310294117647059
"2997",7,9,64.2,57.9,72,59,0.223529411764706
"2998",1,9,69.5,61.2,75,59,0.288235294117647
"2999",2,9,61.5,45.7,75,50,0.304411764705882
"3000",3,9,58.8,51.3,69.1,46,0.311764705882353
"3001",4,9,68.5,63.7,73,64.9,0.336764705882353
"3002",5,9,63.6,59.9,73,59,0.366176470588235
"3003",6,9,58.8,41.4,66.9,50,0.347058823529412
"3004",7,9,55.2,38.9,63,46.9,0.264705882352941
"3005",1,9,56.8,37,63,48.9,0.319117647058824
"3006",2,9,58.8,40.4,64.9,53.1,0.310294117647059
"3007",3,9,64.1,48.2,71.1,54,0.383823529411765
"3008",4,9,66.2,56.9,75.9,55,0.298529411764706
"3009",5,9,64.6,61,75.9,55,0.372058823529412
"3010",6,9,63.6,60.9,73,59,0.348529411764706
"3011",7,9,66.7,63,73,61,0.323529411764706
"3012",1,9,68.1,66.3,73,62.1,0.304411764705882
"3013",2,9,67.5,65.8,68,66,0.322058823529412
"3014",3,9,67.6,64.2,70,64,0.370588235294118
"3015",4,10,66.4,62.2,70,61,0.348529411764706
"3016",5,10,64.8,59,70,59,0.373529411764706
"3017",6,10,61.4,47.8,68,50,0.335294117647059
"3018",7,10,61,51.5,66,52,0.251470588235294
"3019",1,10,56.9,54.6,59,52,0.3
"3020",2,10,59.2,53.1,64,48,0.335294117647059
"3021",3,10,65.7,60.4,70,61,0.308823529411765
"3022",4,10,59.5,41.1,64,57,0.342647058823529
"3023",5,10,52.5,34.2,55,50,0.339705882352941
"3024",6,10,65.2,56.4,70,55,0.260294117647059
"3025",7,10,60.9,51.3,64,54,0.219117647058824
"3026",1,10,55.3,47.3,57.2,52,0.327941176470588
"3027",2,10,61.8,60.1,64.4,57,0.325
"3028",3,10,60.7,50.6,66,53.6,0.338235294117647
"3029",4,10,63.5,58.3,66,57,0.292647058823529
"3030",5,10,65.4,60.7,70,59,0.277941176470588
"3031",6,10,54.3,44.2,63,50,0.329411764705882
"3032",7,10,54.7,40,61,46,0.257352941176471
"3033",1,10,55.6,48.9,63,48,0.211764705882353
"3034",2,10,59.7,57.6,64,54,0.291176470588235
